source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref,W1,W2,WISEA,J,H,K,2MASS,G_W2,W1_W2,J_K,G_J
266846631637525120,75.85667289714588,53.12186356696981,72.23599415423742,834.48627,2030.0312,1286.5118404503908,-1570.3230179702246,15.707108,18.064842,14.125392,3.9394503,0.5706241,1.2557602,BD+52   911B,PM*,5,11.777999877929688,11.553000450134277,WISEA,17.027999877929688,16.31599998474121,15.973999977111816,05032488+5307081,4.1541075498657225,0.22499942779541016,1.053999900817871,-1.3208918779296877
266846631637524864,75.85923651184258,53.12163420733134,72.17340591451902,4179.373,2014.91,1302.1185621203924,-1537.6442792268324,9.218808,10.183291,8.241274,1.9420176,0.104529366,1.0607893,BD+52   911B,PM*,5,11.777999877929688,11.553000450134277,WISEA,17.027999877929688,16.31599998474121,15.973999977111816,05032488+5307081,-2.334192450134278,0.22499942779541016,1.053999900817871,-7.809191877929688
200296663143599104,73.15109158635963,40.70183928537737,74.06984596438883,1517.4485,1606.9323,1175.720000968031,-1095.405742486073,12.043524,13.698364,10.790067,2.9082975,0.36597905,1.0590621,ATO J073.1527+40.6712,V*,1,15.75100040435791,15.656999588012695,WISEA,14.98900032043457,14.708000183105469,14.79699993133545,04523385+4042003,-3.6134755880126956,0.09400081634521484,0.1920003890991211,-2.9454763204345706
1288369418615181952,224.38086920971912,31.390721094462616,23.80726511793143,322.9157,1354.4636,-687.6189565991531,-1166.9412297263775,11.30368,11.361829,9.616941,1.7448874,0.5140342,3.0840142,Ross   53A,PM*,4,8.800000190734863,8.413000106811523,WISEA,8.444000244140625,7.817999839782715,7.6570000648498535,14573227+3123446,2.8906798931884765,0.38700008392333984,0.7870001792907715,2.859679755859375
3910661735547769344,172.11439226399256,7.511853778041851,35.332183561988415,2513.1736,1250.4182,-272.2635073655329,-1220.4173041878023,9.676806,10.391775,8.8558445,1.5359306,0.06647832,0.9875593,G  10-25A,PM*,9,,,,7.817999839782715,7.228000164031982,7.060999870300293,11282773+0731020,,,0.7569999694824219,1.8588061602172843
4143754008847248128,269.8837550451606,-17.931486950254186,25.415351816007675,883.979,1141.1608,-415.6988674108914,-1062.752193858979,13.985264,15.21566,12.884793,2.3308668,0.0,1.0255221,PM J17595-1755,PM*,3,10.774999618530273,11.022000312805176,WISEA,12.869000434875488,11.67199993133545,11.21399974822998,17593128-1756174,2.963263687194825,-0.24700069427490234,1.6550006866455078,1.1162635651245125
5142197118950177280,27.037652026891283,-17.208918406145102,13.035935503778749,134.00906,1111.3102,-106.51074959431236,-1106.1942847460768,17.536055,17.719677,17.238007,0.48167038,0.22498882,1.0770707,G 272-98,PM*,4,16.513999938964844,16.016000747680664,WISEA,15.206000328063965,14.637999534606934,14.312000274658203,01480841-1712462,1.520054252319337,0.4979991912841797,0.8940000534057617,2.330054671936036
6821550875241089152,335.3015867365798,-19.97335828730783,19.05615461270313,152.87283,1080.3412,905.9282324328572,-588.5839294847331,17.651583,20.288462,16.224318,4.064144,0.55948824,1.0024136,LEHPM 4592,PM*,7,17.735000610351562,16.844999313354492,WISEA,14.192999839782715,13.741999626159668,13.484000205993652,22211126-1958139,0.8065836866455065,0.8900012969970703,0.7089996337890625,3.458583160217284
3978879594463300992,171.04909306103758,21.359804540978555,68.04195101183048,2361.927,1038.0396,-1037.89859423324,-17.107494410049725,14.124896,14.28668,13.829387,0.4572935,0.14108822,0.9811443,TYC 1439-477-1,PM*,4,17.597000122070312,16.843000411987305,WISEA,13.574000358581543,13.420000076293945,13.39900016784668,11241311+2121356,-2.718104411987305,0.7539997100830078,0.17500019073486328,0.5508956414184567
79257544069541248,33.462802411047214,15.985165401972967,9.39963520236257,479.02835,1020.20044,978.5166495364632,-288.64187097926174,12.775483,13.381881,12.029816,1.3520651,0.06020237,1.0675542,TYC 1214-213-1,PM*,0,17.499000549316406,16.599000930786133,WISEA,11.090999603271484,10.545999526977539,10.420000076293945,02134990+1559113,-3.8235179307861333,0.8999996185302734,0.6709995269775391,1.684483396728515
5051410134608005504,46.60987439860533,-33.43306916919613,11.36253817298978,208.04665,931.5241,-67.00792126165504,-929.1109379762304,16.955246,18.275515,15.816179,2.4593353,0.0,0.9698116,PM J03064-3325,PM*,4,13.510000228881836,13.321999549865723,WISEA,14.347999572753906,13.85200023651123,13.579999923706055,03062646-3325428,3.6332464501342763,0.18800067901611328,0.7679996490478516,2.6072464272460927
6893183782913620224,323.5474794835858,-10.703237693440917,39.89862708039422,1372.1819,916.97125,580.5640100856974,-709.7757851918531,14.106533,15.845738,12.853778,2.9919605,0.058857247,1.126697,LP  758-4,PM*,7,15.73799991607666,15.711999893188477,WISEA,15.333000183105469,14.730999946594238,14.42199993133545,21341126-1041460,-1.605466893188476,0.026000022888183594,0.9110002517700195,-1.226467183105468
991713927241075840,100.95736393067432,51.13495365951942,52.904678252357,914.8297,916.52466,104.92862821295807,-910.4984694416128,12.560951,,,,0.49349606,1.4866871,G 192-39B,PM*,3,7.919000148773193,7.928999900817871,WISEA,8.361000061035156,7.814000129699707,7.545000076293945,06434969+5108209,4.631951099182128,-0.009999752044677734,0.8159999847412109,4.199950938964843
6586853933540951680,328.473910202331,-37.18663395164654,12.236656265741932,167.48878,911.0124,-529.5773263253275,-741.2769260258133,16.484713,17.721235,15.392286,2.328949,0.16531064,1.0493839,LP  983-23,PM*,7,18.31800079345703,17.207000732421875,WISEA,13.984999656677246,13.458000183105469,13.258000373840332,21535446-3710596,-0.7222877324218757,1.1110000610351562,0.7269992828369141,2.499713343322753
