source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref
266846631637525120,75.85667289714588,53.12186356696981,72.23599415423742,834.48627,2030.0312,1286.5118404503908,-1570.3230179702246,15.707108,18.064842,14.125392,3.9394503,0.5706241,1.2557602,BD+52   911B,PM*,5
266846631637524864,75.85923651184258,53.12163420733134,72.17340591451902,4179.373,2014.91,1302.1185621203924,-1537.6442792268324,9.218808,10.183291,8.241274,1.9420176,0.104529366,1.0607893,BD+52   911B,PM*,5
200296663143599104,73.15109158635963,40.70183928537737,74.06984596438883,1517.4485,1606.9323,1175.720000968031,-1095.405742486073,12.043524,13.698364,10.790067,2.9082975,0.36597905,1.0590621,ATO J073.1527+40.6712,V*,1
1288369418615181952,224.38086920971912,31.390721094462616,23.80726511793143,322.9157,1354.4636,-687.6189565991531,-1166.9412297263775,11.30368,11.361829,9.616941,1.7448874,0.5140342,3.0840142,Ross   53A,PM*,4
3910661735547769344,172.11439226399256,7.511853778041851,35.332183561988415,2513.1736,1250.4182,-272.2635073655329,-1220.4173041878023,9.676806,10.391775,8.8558445,1.5359306,0.06647832,0.9875593,G  10-25A,PM*,9
4143754008847248128,269.8837550451606,-17.931486950254186,25.415351816007675,883.979,1141.1608,-415.6988674108914,-1062.752193858979,13.985264,15.21566,12.884793,2.3308668,0.0,1.0255221,PM J17595-1755,PM*,3
5142197118950177280,27.037652026891283,-17.208918406145102,13.035935503778749,134.00906,1111.3102,-106.51074959431236,-1106.1942847460768,17.536055,17.719677,17.238007,0.48167038,0.22498882,1.0770707,G 272-98,PM*,4
6821550875241089152,335.3015867365798,-19.97335828730783,19.05615461270313,152.87283,1080.3412,905.9282324328572,-588.5839294847331,17.651583,20.288462,16.224318,4.064144,0.55948824,1.0024136,LEHPM 4592,PM*,7
3978879594463300992,171.04909306103758,21.359804540978555,68.04195101183048,2361.927,1038.0396,-1037.89859423324,-17.107494410049725,14.124896,14.28668,13.829387,0.4572935,0.14108822,0.9811443,TYC 1439-477-1,PM*,4
79257544069541248,33.462802411047214,15.985165401972967,9.39963520236257,479.02835,1020.20044,978.5166495364632,-288.64187097926174,12.775483,13.381881,12.029816,1.3520651,0.06020237,1.0675542,TYC 1214-213-1,PM*,0
5051410134608005504,46.60987439860533,-33.43306916919613,11.36253817298978,208.04665,931.5241,-67.00792126165504,-929.1109379762304,16.955246,18.275515,15.816179,2.4593353,0.0,0.9698116,PM J03064-3325,PM*,4
6893183782913620224,323.5474794835858,-10.703237693440917,39.89862708039422,1372.1819,916.97125,580.5640100856974,-709.7757851918531,14.106533,15.845738,12.853778,2.9919605,0.058857247,1.126697,LP  758-4,PM*,7
991713927241075840,100.95736393067432,51.13495365951942,52.904678252357,914.8297,916.52466,104.92862821295807,-910.4984694416128,12.560951,,,,0.49349606,1.4866871,G 192-39B,PM*,3
6586853933540951680,328.473910202331,-37.18663395164654,12.236656265741932,167.48878,911.0124,-529.5773263253275,-741.2769260258133,16.484713,17.721235,15.392286,2.328949,0.16531064,1.0493839,LP  983-23,PM*,7
1702642928692750592,238.9725147279116,73.22956049313153,11.400712226706712,366.1893,902.182,-762.4335104200733,482.31476743728274,16.039305,17.215384,14.968859,2.2465248,0.09954585,1.0676091,LP   42-230,PM*,8
1159108770069138176,220.81989821977652,5.8273989940981465,12.624286847495592,144.62956,899.84625,-899.8393359092596,3.530506732372735,13.06981,13.361742,11.860341,1.501401,0.5771564,1.4621096,BD+06  2932B,PM*,4
3183077473694357120,75.05912907629177,-10.019347703598005,13.340226779707267,502.09735,896.19147,489.5088710565487,-750.6931588855599,14.973249,15.969218,13.983378,1.9858398,0.0,1.0649896,PM J05002-1000,PM*,7
2413236093765321856,347.4719444237776,-11.77795476976515,36.05830409701421,1006.7823,886.6604,872.593084986997,157.31501611208893,15.1131525,17.21507,13.78356,3.431511,0.14627406,0.9968521,LP  762-1,PM*,8
6611315799515521536,331.8475481607876,-35.13349804453238,10.052285573276984,392.7528,878.3888,745.6876242602259,-464.237926174495,14.634872,15.590131,13.671628,1.9185028,0.0,1.0360358,LP  983-97,PM*,5
991713931537805440,100.95811427703256,51.13498845721774,53.02924083986898,2040.1127,874.5814,85.49859447961038,-870.3922472152394,11.507949,12.77411,10.267693,2.5064173,0.2129356,1.3843044,G 192-39B,PM*,3
1234976584214604544,220.76669189809937,17.109990208151054,9.89679292333398,361.39816,869.838,167.44940684586183,-853.5683068414237,15.138268,16.094276,14.171731,1.9225454,0.054341547,1.0887514,LP  441-3,PM*,9
1685892762396628480,193.6488721352682,70.04548187424427,12.956706484052592,574.97797,855.6963,-800.2664091405832,-302.9683920392414,15.272547,16.303339,14.265123,2.0382156,0.0,1.0139495,LSPM J1254+7002,PM*,7
5024549924533768960,30.072668955541133,-27.342473412512884,11.408488807163767,606.807,847.03613,-76.89900815259296,-843.5382295437166,13.923391,14.821779,12.985754,1.8360252,0.05172348,1.1527628,G 274-136,PM*,9
2490649786899307648,31.50509012008304,-6.351472190718277,10.272320600183814,172.92818,840.31744,828.4518703512581,-140.71569761630553,16.364044,17.58178,15.2704315,2.311348,0.17148586,1.041153,LP  649-36,PM*,9
830239138485572224,157.8491324699124,45.52339445319689,62.57685431082019,2411.2534,840.3095,-577.3241957852479,-610.5872978188678,13.160847,14.58937,11.775997,2.8133726,0.18273768,1.7172735,BD+46  1635B,PM*,4
6537262866750892416,353.5740221409481,-40.736312170832,29.331334578336023,1136.567,837.39056,807.7368641875378,-220.87131661805807,14.354544,16.145878,13.085192,3.060686,0.1008033,1.1463737,LP 1035-33,PM*,8
830239138487431808,157.84731232129542,45.52340641448857,62.52016704002569,3002.4072,821.18176,-566.2165955824817,-594.7589727468139,8.291128,9.077447,7.4273505,1.6500964,0.1147194,0.9621849,BD+46  1635B,PM*,4
1121562647004892800,129.32605454102102,70.62221209254467,19.97095185010053,610.8326,815.5798,98.61364841201328,-809.5959886407048,15.846747,17.711418,14.559986,3.151432,0.10195645,1.040191,LSR J0837+7037,PM*,7
6803857877726735616,316.99109139759105,-25.360404073095044,23.830696056498702,224.30981,808.2987,660.6330142269868,-465.7368219043589,15.143074,16.852936,13.887846,2.9650898,0.47205862,0.9085959,LP  872-43,PM*,9
2482910290191753856,17.375944180224703,-5.125202221404193,15.76108587500431,580.7196,807.5016,807.4273834769507,-10.945849496144772,14.487874,15.893268,13.323313,2.5699549,0.082221694,1.1961275,G 270-155,PM*,9
2482910290191753856,17.375944180224703,-5.125202221404193,15.76108587500431,580.7196,807.5016,807.4273834769507,-10.945849496144772,14.487874,15.893268,13.323313,2.5699549,0.082221694,1.1961275,G 270-155,PM*,9
4347692902941910528,239.1893088060332,-9.100523041103262,12.706531011580692,349.77716,806.9453,-133.9183849881481,-795.7553599480921,15.394792,16.75866,14.246126,2.5125332,0.052335225,1.034967,LP  684-4,PM*,6
2482910290191753728,17.374330389292147,-5.123726079101474,15.745358248407245,640.684,806.86646,806.7855670859365,-11.42680323082634,14.345863,15.708355,13.197234,2.5111208,0.034442842,1.0772519,G 270-155,PM*,9
2482910290191753728,17.374330389292147,-5.123726079101474,15.745358248407245,640.684,806.86646,806.7855670859365,-11.42680323082634,14.345863,15.708355,13.197234,2.5111208,0.034442842,1.0772519,G 270-155,PM*,9
4983570061015756928,18.43846511975345,-43.425301500581256,12.613104911001612,248.4779,804.65924,-23.21093035007172,-804.3244057222638,16.144735,17.327494,15.066354,2.2611399,0.30657315,1.2781606,LP  990-102,PM*,7
2355093506571972096,20.34202949516254,-17.840018825362613,10.272044593573002,210.04701,802.63684,4.959112267575335,-802.6215475487306,15.768468,17.042759,14.650582,2.3921766,0.16962232,1.2113178,LP  767-37,PM*,7
6553304122924596992,347.3929662408889,-36.9694404149594,8.916145742533041,535.606,787.1693,-437.85314755480135,-654.1560499604843,13.869031,14.715383,12.966148,1.7492342,0.024677757,1.1354347,LP  985-100,PM*,6
