source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref
2202703050401536000,327.9163604193208,59.2929297833234,118.15513655131949,7614.7266,88.84971,-86.74227008780505,-19.236664849105665,14.373105,14.813503,13.762923,1.05058,0.0,1.0251036,Gaia DR3 2202702874294360576,EB*,1
2340736324254735488,1.176391320557835,-20.97458771835872,66.48052358071891,486.67642,763.13354,758.3599683562992,85.2229368170899,16.850798,20.419176,15.292363,5.126813,0.8837038,1.3434169,TYC 5844-880-1,*,4
2206265777300448768,336.44879839129527,64.36474554657796,60.62060640203084,692.7032,458.18732,-337.3750415604417,310.0220929408796,17.327248,20.708227,15.761462,4.946765,0.6253815,1.0036474,Gaia DR3 2206265777304448768,*,1
1668664785283445760,219.5410177378253,64.14250035646982,58.87781478128748,588.2114,676.58374,644.153770234613,-206.95770826566107,17.616884,20.542412,16.082228,4.460184,0.7270663,1.0669694,SDSS J143816.98+640831.9,G,2
2177877452238559104,321.85799800123465,55.88868198542661,57.54697790620107,959.95496,406.07385,308.5240002674112,264.02446585749703,16.289536,19.62896,14.763616,4.865344,0.45893863,0.95260954,Gaia DR3 2177854048947833088,EB*,1
1876972009105701504,338.56255379484213,23.998598407637918,54.06394308629674,361.8051,853.1086,851.1467633174713,-57.82260252864317,17.821522,20.971678,16.268291,4.7033863,0.696636,1.1029657,LEDA 1697774,G,1
419121948343397888,4.943235713507629,52.22031059256852,50.30688654250263,430.51117,417.1665,310.27210190811525,-278.8531989449751,17.327671,20.39414,15.772535,4.621605,0.8294438,1.2576816,NVSS J001949+521402,Rad,1
1104317391237838464,96.1779501115428,66.43966318244354,47.585836917872,312.8795,628.75964,354.20955504316566,-519.4942519753768,18.40809,21.107288,16.840971,4.2663174,0.72669524,0.9338016,WISE J062441.53+662629.2,MIR,1
518201101498814208,27.976995496246733,64.38577616425702,46.66789208180738,447.5629,143.54042,-141.33653705497406,25.056681266170276,17.62071,20.54699,16.049568,4.4974213,0.6736014,1.0908377,2MASS J01515483+6423084,LM*,4
2188860027203347968,314.9391995264964,55.29353080273955,43.95969839109637,862.3086,498.55466,271.6482781239225,418.04780697613296,17.061504,17.64795,16.336828,1.311121,0.0,1.0010628,ZTF J205951.55+551745.8,RS*,2
814482174787733248,142.10429750705612,42.51339775733023,42.81448332915021,330.34622,542.14,-386.2755936845263,-380.403713809026,17.529444,20.607573,15.975728,4.6318445,0.7491269,0.992327,LEDA 3742663,G,1
2407323744864329344,352.44978338085747,-16.134613519089537,42.24992415711259,243.20935,540.20325,43.17421840566651,-538.4751639614418,17.961159,20.89089,16.393665,4.497225,0.8556295,1.2155745,MASTER OT J232947.88-160804.6,ev,1
261069144711056384,73.7983834350297,52.87121113777408,41.97443938741423,328.26556,810.31134,-114.54899629663612,-802.1738970843375,16.63703,19.861248,15.122515,4.7387333,0.81621575,1.0786346,ZTF J045509.32+525301.9,EB*,3
2693095097621419648,320.5511061176594,4.230598362107293,41.29650575679993,757.4256,420.22156,-75.8447733692829,-413.3203551143927,16.537857,17.001345,15.8923,1.109045,0.0,1.0208254,SDSS J212213.66+041307.5,G,2
2146576589564898688,284.4157312016983,53.50901710202562,40.39310935403938,799.06866,246.40071,240.7492368572938,-52.4701406612122,16.942257,17.473812,16.261986,1.2118263,0.16334714,1.0818938,UCAC4 718-062613,*,2
1086480151540969856,113.75340038557871,61.63135535260427,37.92393158813425,128.08855,162.28403,42.628889862384064,-156.58507078155614,19.060116,21.336153,17.512701,3.823452,0.8568897,0.971921,2MASS J07350070+6137555,LM*,4
1994675416061276288,358.5379136253943,55.31394231885776,37.500084713012846,295.85574,1324.701,1093.6724192580486,-747.4714216115256,17.727308,20.925146,16.17433,4.7508163,0.89011216,1.1562197,Gaia DR3 1994675416053787136,*,1
454010341345229824,40.257765892365086,54.743366589911645,37.35091568737371,221.20612,68.42379,1.7387848027145871,-68.40169033456095,17.767511,20.85141,16.217718,4.633692,0.9719276,1.3124633,2MASS J02410186+5444373,LM*,4
405102625325363840,15.519092125855726,52.90287568559022,37.23078501942698,396.46823,127.02296,-109.41404066592212,-64.52440192365843,17.099552,19.578485,15.493908,4.0845776,0.4829286,1.072279,PM J01020+5254B,Em*,4
930068265936597632,125.45628620401956,45.53161239678007,36.61748656982759,243.67233,584.78253,-358.1701368199713,-462.2604545109948,17.837559,21.241705,16.285383,4.9563217,0.69570225,0.84890115,NSC J082147+453150,ClG,1
2487828199544312064,34.74281929376669,-6.297639915612684,36.29665662623085,251.61005,363.16714,350.8436518873832,-93.803520559009,17.054775,20.364033,15.542788,4.821245,0.80342764,0.8519072,2XLSSd J021857.9-061752,G,1
1722694722247854592,243.5486922061812,82.19514369927991,36.00787255670546,285.16937,752.52625,-474.279574609113,584.255630278066,18.157394,21.141191,16.60017,4.5410213,0.94187343,1.0421177,2MASS J16141557+8211327,PM*,3
209212907873065344,80.94734353302468,46.38886753731273,33.48586896901864,172.51996,252.40785,-144.7540338184124,-206.77521650019384,18.220242,20.868996,16.668365,4.20063,0.83655417,1.0123421,2MASS J05234758+4623232,LM*,3
971347127898766848,95.97111562217144,51.6169933301249,33.124455516802165,190.4112,369.1847,362.6518360240906,-69.14457707897222,17.716906,20.602142,16.175644,4.4264984,0.9648101,0.98053503,Gaia DR3 971347123605410944,WD?,3
2225342166607084288,342.2476817352963,68.05474767062131,32.86100873542369,476.45093,622.6959,462.2759369497804,417.1944487038825,16.969065,20.185862,15.481942,4.7039194,0.42513767,0.97626674,NVSS J224904+680335,Rad,2
209364885290255616,82.14971134632371,47.20054116964679,32.61708436580704,239.9978,122.796776,-110.9179580945712,-52.69018302635405,17.273355,20.479736,15.766994,4.712742,0.7355089,1.0339133,NVSS J052835+471129,Rad,1
1631578537252535040,253.49992630712623,62.89925239327107,32.485170632628424,341.79633,566.1328,-545.7895558100139,150.39988079404935,18.059563,18.27118,17.823683,0.4474964,0.0,0.9696087,SDSSCGB 68703.4,G,1
1129107908110522752,172.10620639828363,78.51572809690651,31.60784514518728,299.76044,287.3398,-12.33440367462152,-287.0749619783864,17.488462,20.661566,15.973971,4.6875944,0.66211545,1.0409192,TYC 4552-352-1,*,0
420531621029108608,3.357850446110235,54.63534622090124,30.976599032214992,269.0856,981.67145,776.838048750967,600.1679011525896,17.99675,18.63682,17.18859,1.4482307,0.28234968,1.0474571,TYC 3657-1338-1,*,0
982778986516797312,116.04276618044534,51.50702119118117,30.94110159657944,191.83499,65.941505,-16.514460575148117,-63.84007181544284,17.813177,20.888855,16.273165,4.61569,0.809242,1.0649258,2MASS J07441029+5130264,LM*,3
2271357312343219456,310.1206777013713,69.99259323842053,30.401642574284956,316.0805,2304.3652,1558.221480040751,1697.6586954672823,17.529474,20.945486,16.022087,4.923399,0.78418547,1.0619081,PSST 15ber,ev,2
487032317657766144,56.6849834616929,62.6016676272826,30.287963808753688,186.78426,60.92812,1.9624855754470156,60.89650442765553,18.354282,21.49447,16.794369,4.700102,0.8128522,1.0524124,2MASS J03464439+6236051,LM*,3
