source_id,W1,W2,WISEA,J,H,K,2MASS
266846631637525120,11.777999877929688,11.553000450134277,WISEA,17.028,16.316,15.974,05032488+5307081
266846631637524864,11.777999877929688,11.553000450134277,WISEA,17.028,16.316,15.974,05032488+5307081
200296663143599104,15.75100040435791,15.656999588012695,WISEA,14.989,14.708,14.797,04523385+4042003
1288369418615181952,8.800000190734863,8.413000106811523,WISEA,8.444,7.818,7.657,14573227+3123446
3910661735547769344,,,,7.818,7.228,7.061,11282773+0731020
4143754008847248128,10.774999618530273,11.022000312805176,WISEA,12.869,11.672,11.214,17593128-1756174
5142197118950177280,16.513999938964844,16.016000747680664,WISEA,15.206,14.638,14.312,01480841-1712462
6821550875241089152,17.735000610351562,16.844999313354492,WISEA,14.193,13.742,13.484,22211126-1958139
3978879594463300992,17.597000122070312,16.843000411987305,WISEA,13.574,13.42,13.399,11241311+2121356
79257544069541248,17.499000549316406,16.599000930786133,WISEA,11.091,10.546,10.42,02134990+1559113
5051410134608005504,13.510000228881836,13.321999549865723,WISEA,14.348,13.852,13.58,03062646-3325428
6893183782913620224,15.73799991607666,15.711999893188477,WISEA,15.333,14.731,14.422,21341126-1041460
991713927241075840,7.919000148773193,7.928999900817871,WISEA,8.361,7.814,7.545,06434969+5108209
6586853933540951680,18.31800079345703,17.207000732421875,WISEA,13.985,13.458,13.258,21535446-3710596
1702642928692750592,15.5649995803833,15.505999565124512,WISEA,16.474,15.948,15.373,15554850+7313275
1159108770069138176,16.913999557495117,16.849000930786133,WISEA,9.03,8.577,8.634,14431794+0549397
3183077473694357120,17.77899932861328,17.69300079345703,WISEA,12.719,12.282,12.081,05001361-1000569
2413236093765321856,17.48200035095215,16.384000778198242,WISEA,15.166,14.737,14.629,23095195-1146351
6611315799515521536,18.35700035095215,17.579999923706055,WISEA,12.502,11.913,11.751,22072242-3507529
991713931537805440,15.484999656677246,15.147000312805176,WISEA,8.361,7.814,7.545,06434969+5108209
1234976584214604544,17.916000366210938,18.42300033569336,WISEA,12.963,12.443,12.218,14430381+1706509
1685892762396628480,17.256999969482422,16.80900001525879,WISEA,16.623,16.327,15.945,12543515+7002493
5024549924533768960,18.371999740600586,18.27400016784668,WISEA,11.815,11.274,11.074,02001752-2720182
2490649786899307648,16.628999710083008,16.891000747680664,WISEA,13.868,13.404,13.111,02060037-0621031
830239138485572224,6.6570000648498535,6.293000221252441,WISEA,14.345,13.394,13.478,10312536+4531252
6537262866750892416,17.823999404907227,18.242000579833984,WISEA,11.248,10.713,10.435,23341658-4044071
830239138487431808,6.6570000648498535,6.293000221252441,WISEA,14.345,13.394,13.478,10312536+4531252
1121562647004892800,17.163000106811523,17.30900001525879,WISEA,12.728,12.251,11.971,08371792+7037337
6803857877726735616,15.359999656677246,14.229000091552734,WISEA,12.214,11.679,11.458,21075706-2521297
2482910290191753856,12.395000457763672,11.97599983215332,WISEA,11.752,11.275,11.052,01092928-0507306
2482910290191753856,12.395000457763672,11.97599983215332,WISEA,11.752,11.275,11.052,01092928-0507306
4347692902941910528,17.19499969482422,17.55299949645996,WISEA,14.637,14.227,13.956,15564718-0906122
2482910290191753728,12.395000457763672,11.97599983215332,WISEA,11.752,11.275,11.052,01092928-0507306
2482910290191753728,12.395000457763672,11.97599983215332,WISEA,11.752,11.275,11.052,01092928-0507306
4983570061015756928,17.36199951171875,16.45400047302246,WISEA,13.674,13.173,12.922,01134526-4325178
