source_id,ra,dec,parallax,parallax_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,g_rp,ruwe,l,b
6387490966228061952,351.41545733927086,-69.05077301037255,7.244586614350385,1.4455305,234.30243,215.79955674633112,-91.2588669281792,20.863543,21.385973,19.330994,2.0549793,1.5325489,1.1035051,313.82216417858353,-46.221604155651605
6473285343147923072,302.8673726463968,-53.363328161354055,7.485031267028066,1.3704497,224.4239,-5.963848489349928,-224.3446467699508,20.844526,20.948862,20.1039,0.84496117,0.7406254,1.072598,345.00923678309465,-33.20320061980726
4707605252467583616,3.239368709988192,-66.61486258371981,5.7672106903718365,1.1171114,223.47148,196.79751347987795,-105.8784371923556,20.817848,20.910172,19.302458,1.6077137,1.5153904,1.1363379,308.86324924657384,-50.06789970166162
4987326989167298560,14.981663301382232,-40.58314422034604,6.816428136008909,1.0855538,215.33118,211.4557744288151,-40.66901445865007,20.748402,21.569685,19.26558,2.3041058,1.4828224,1.0866789,296.0471261002004,-76.43142197214893
6402746586984583296,327.02166864837886,-63.79284670989987,7.0153511920211855,1.0553547,221.1807,216.96582806069875,-42.97358687483631,20.69915,21.438103,19.237886,2.2002163,1.4612637,1.1228186,328.63404261028586,-43.07335561144501
1083836788147411072,125.17436566028154,60.195468541135504,6.070195166170756,0.79674906,222.8018,-64.93326194450788,-213.1298014106141,20.674444,21.661882,19.229805,2.4320774,1.4446392,0.983417,156.75739118125642,34.30737308139943
5121760221446118272,29.78358179628336,-25.40945265141214,4.414969289068456,0.8719446,207.26534,192.1642330803926,-77.66483247599356,20.64215,21.493805,19.194601,2.2992039,1.4475498,1.0910945,210.2849146532545,-74.73846976366364
6481421523035063040,314.76085716475694,-48.366206314309856,7.4838707198898735,1.1035892,224.56854,68.19497347807362,-213.96372005221787,20.638966,21.865238,19.117407,2.7478313,1.5215588,1.0952657,351.08686560283184,-40.78872744972013
5028717795157123456,19.69961031061249,-30.98691608771422,7.522979645167814,1.1023778,222.81187,222.71454771415088,6.584747940071993,20.635736,21.298649,19.998432,1.3002167,0.6373043,1.1568675,247.39570912257253,-82.8863654811746
1020089715309102720,145.28469809036255,51.69185986231308,5.049958492552388,0.8588102,204.65312,-152.2815006361884,-136.7232306398854,20.626665,21.288815,19.3708,1.9180145,1.2558651,1.1872382,164.96098672781292,46.88587362439685
6400343913559585792,324.69196100702226,-66.71843078957733,4.798917931298192,0.7132308,221.24837,163.3086711493069,-149.268616517456,20.607822,20.919792,19.344828,1.5749645,1.2629948,0.93963915,325.8278952883832,-40.80358341354477
4917488450112344832,24.95005490669904,-50.04212095458263,4.112520277771902,0.75413424,204.35611,-49.16974623096563,-198.3526061071692,20.597208,21.694637,19.296333,2.398304,1.3008747,1.0391357,284.16267821218054,-65.28687028369836
